Symbol,ceiling,floor,ref_price,prior_close_price,match_price,match_vol,accumulated_volume,accumulated_value,avg_match_price,highest,lowest,foreign_buy_volume,foreign_sell_volume,current_room,total_room,total_accumulated_value,total_accumulated_volume,reference_price
AAA,-0.6616540164707566,-0.6612533158848343,-0.661397614612161,-0.6625063338514179,-0.663332839714569,-0.13752939144566695,-0.1218663304090876,-0.31830028919901765,-0.6611813511555906,-0.6627157339310312,-0.6602348802415754,-0.24082564682688237,-0.2086088831642146,1.093183174365736,0.38551057478841705,-0.31829716923746976,-0.12186633040908759,-0.661397614612161
ABS,-0.8652855071399873,-0.8650428966348882,-0.8652961986028572,-0.8662445812366295,-0.867045372770493,-0.3147650707312917,-0.38544735634872107,-0.4085680106428061,-0.8646221319816939,-0.8650728916592201,-0.8643098232575677,-0.24799306790379716,-0.20907129750540432,-0.4938023149482993,-0.49603742001933465,-0.40856884751999895,-0.385447356348721,-0.8652961986028572
ACB,-0.036715993382427946,-0.0353569995614013,-0.036183724474943224,-0.03778408358184637,-0.04320792291197699,1.2483955105091362,1.7308486589965772,1.3183330437230347,-0.044625623213655666,-0.048218310004145996,-0.040451719970784124,0.7595671499835018,0.44096766262203485,-0.4938023149482993,2.594077169303948,1.3183314497173535,1.7308486589965768,-0.036183724474943224
ACC,-0.4878650718478787,-0.4853082521085501,-0.4867883299792443,-0.48803435404640244,-0.5000632360153359,-0.3292925854268347,-0.44226922679180314,-0.4074680542041365,-0.4941340166510016,-0.4919188668576976,-0.4939515933396558,-0.24799306790379716,-0.20907129750540432,-0.4938023149482993,-0.49603742001933465,-0.4074717834968646,-0.4422692267918031,-0.4867883299792443
ACL,-0.5791481538720166,-0.5781233086877826,-0.5787867702697058,-0.5799604509329159,-0.5787022653200123,-0.34265789894673426,-0.4673258603342957,-0.4182842925177214,-0.5774302491876647,-0.5773173003943644,-0.575203653984912,-0.24799306790379716,-0.20907129750540432,-0.41451640520692096,-0.4503016143299308,-0.41827982367687566,-0.46732586033429563,-0.5787867702697058
ADS,-0.6405886898498018,-0.6406725859477002,-0.6407449035265472,-0.6418698631217924,-0.6423624318999885,-0.31418397014346994,-0.4512922983084437,-0.413487260271301,-0.6414109888399844,-0.6367249063329152,-0.6394494693788355,-0.24799306790379716,-0.20907129750540432,-0.3323509967383438,-0.40795200204890897,-0.4134856938201255,-0.45129229830844364,-0.6407449035265472
AGG,-0.424669091985014,-0.4247766934699202,-0.4248301967224029,-0.426124941857526,-0.4251689223918344,-0.3002375560357487,-0.3412376602188614,-0.3569515362800486,-0.42151182046632213,-0.42322882249124816,-0.42025786391721415,-0.23742112181534783,-0.20907129750540432,-0.16820676893338402,-0.3157066498266686,-0.3569470130207494,-0.34123766021886137,-0.4248301967224029
AGM,-0.8772225255585284,-0.8771492083626142,-0.8773123214163052,-0.8782512551156844,-0.8801518776546057,-0.2926832483940663,-0.44384574858095593,-0.41614548833141934,-0.8781058162645103,-0.8784396029953939,-0.8782927360197745,-0.24799306790379716,-0.20907129750540432,-0.4938023149482993,-0.49603742001933465,-0.4161487598033505,-0.4438457485809559,-0.8773123214163052
AGR,-0.33163056607579655,-0.32994391826940006,-0.3309542372423402,-0.3323228021774101,-0.32406159900010745,-0.09539959882859222,-0.2849189350276366,-0.3160901915398388,-0.3306620086975045,-0.3285479505266828,-0.33144747204914343,-0.23383741127689042,-0.20907129750540432,0.41716429735119825,0.0006679017711277965,-0.31609045280013026,-0.2849189350276366,-0.3309542372423402
ANV,0.2266005893795083,0.22694642120599487,0.2266689620692324,0.24362233545850118,0.2189221747702781,-0.2636282190029803,-0.347979806593749,-0.2967187364810454,0.22275476695995056,0.21725942903375306,0.22786903843913162,-0.2453052849999541,-0.2044471540935072,-0.21978679036268092,-0.345141718580188,-0.2967188947897901,-0.34797980659374894,0.2266689620692324
APG,-0.6405886898498018,-0.6406725859477002,-0.6407449035265472,-0.6418698631217924,-0.6292559270158758,-0.32231937837297403,-0.3498917585508066,-0.38109965402158336,-0.6272569352036336,-0.6274424679050167,-0.6300015553503173,-0.20480935591538546,-0.20340672182583033,0.36605926747745815,0.019648236826356042,-0.38110384012713444,-0.3498917585508066,-0.6407449035265472
APH,-0.7803220231021359,-0.7802987145408065,-0.7804323312328805,-0.7814474469658048,-0.7752998385817037,-0.21191026668684718,-0.06732538510775851,-0.3400040592990643,-0.7762345223737379,-0.7722485073802343,-0.7807902632454672,0.040495630442023804,-0.1779739330603961,0.24397105861193152,0.06637438006202974,-0.3399989443567727,-0.06732538510775851,-0.7804323312328805
ASM,-0.6781551889905046,-0.6782021523036507,-0.6782952873185722,-0.6793907189938387,-0.6783117024392693,-0.01695101947265996,-0.1994513282454801,-0.34433259158086615,-0.6773739101723587,-0.6797954206383646,-0.6757294592483453,-0.22541569151151553,-0.20745284731124033,0.08000820733617348,-0.07774729264550145,-0.3443350747328854,-0.19945132824548006,-0.6782952873185722
ASP,-0.8712540163492579,-0.8710960524987512,-0.8713042600095813,-0.872247918176157,-0.8726624462922555,-0.3429484492406451,-0.46276401005078965,-0.41826392295404236,-0.871138242621534,-0.8710136522530751,-0.8711123213581008,-0.24799306790379716,-0.20791526165243004,-0.4937588370042144,-0.4538444399581702,-0.4182675000901477,-0.4627640100507896,-0.8713042600095813
AST,1.107833419689455,1.1107071773299912,1.109102981181822,1.1066020205155669,1.095185644165245,-0.34352954982846684,-0.46917072625777234,-0.4183963251179563,1.0999414393736129,1.0860956658850591,1.1121937915084315,-0.2470971402691828,-0.20907129750540432,-0.48332212003016845,-0.4451887929492438,-0.41839251829435103,-0.4691707262577723,1.109102981181822
BCE,-0.8077069477093772,-0.8077396877903186,-0.8078441114010588,-0.8088376717523986,-0.8078788650079268,-0.3324886386598542,-0.46712460223355273,-0.4186611294457842,-0.808371118067703,-0.8082643684804808,-0.8095119218921624,-0.24799306790379716,-0.20907129750540432,-0.4234700920954463,-0.45648848785370844,-0.41866407514801096,-0.4671246022335527,-0.8078441114010588
BCG,-0.7806731118791518,-0.7807022582650639,-0.7808078350708008,-0.7818226555245252,-0.7812913836715838,-0.02857303122909437,0.3184863940164034,-0.26639864094475313,-0.7797385146551361,-0.7811596482710169,-0.7792785970009043,-0.24763469684995143,-0.1967017138785795,1.3290189013823592,0.518871940068658,-0.2663955689499294,0.31848639401640333,-0.7808078350708008
BCM,1.5431835031891896,1.5465343995281262,1.544687433169313,1.5418439486313045,1.5370620945439037,-0.20842366315991684,-0.37015174069225976,-0.2136414710159678,1.53054971084069,1.5242267596818713,1.5392395055974524,-0.1691514360577343,-0.06803492344254183,0.9089357054545796,0.31546515893599236,-0.21364386524337167,-0.3701517406922597,1.544687433169313
BFC,0.5144933865325586,0.513462465428843,0.5139293980782244,0.5118964549436325,0.5072652822207586,-0.2854194910462948,-0.43156900443563834,-0.37212686122095406,0.5054460639804392,0.5105844833553478,0.49618979684904735,-0.2447677284191855,-0.2032911182405329,-0.3838311262020678,-0.4301210049274087,-0.3721303848044073,-0.4315690044356383,0.5139293980782244
BIC,0.149361058436007,0.1502731135970637,0.14969067529558097,0.147944152984783,0.13279371410325141,-0.3409145971832691,-0.4574977564146835,-0.40777359765932253,0.136268208093553,0.14299992161056452,0.14094822937676454,-0.2363460086538106,-0.20791526165243004,-0.4747821925170464,-0.3635181080033744,-0.4077722345782495,-0.45749775641468343,0.14969067529558097
