Symbol,ceiling,floor,ref_price,prior_close_price,match_price,match_vol,accumulated_volume,accumulated_value,avg_match_price,highest,lowest,foreign_buy_volume,foreign_sell_volume,current_room,total_room,total_accumulated_value,total_accumulated_volume,reference_price
TYA,13450,11750,12600,12600,12200,300,400,4,12300.0,12600,12200,0,0,3787463,6134773,4.92,4.0,12600.0
TVT,17300,15100,16200,16200,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,16100.0
TVS,24500,21300,22900,22900,22550,15600,273200,6190,22657.393850658857,22900,22350,300,127770,44036694,81827684,6190.905000000001,2732.0,22900.0
TVB,9830,8550,9190,9190,9150,9900,178300,1633,9158.72125630959,9200,9120,0,53000,31574918,33629105,1633.296000000001,1783.0,9190.0
TV2,32400,28200,30300,30300,30000,33900,155600,4685,30109.254498714654,30350,30000,0,800,4818758,10128924,4685.1550000000025,1556.0,30300.0
TTF,3410,2970,3190,3190,3040,61600,1507600,4632,3072.4330061024143,3180,3000,6400,149300,182534953,205599151,4632.551000000001,15076.0,3190.0
TTE,23400,20400,21900,21900,0,0,0,0,0.0,0,0,0,0,14243030,14245200,0.0,0.0,21000.0
TTA,10550,9210,9900,9900,9780,55300,235400,2312,9821.58028887001,9900,9780,0,71500,81963840,83328220,2312.386,2354.0,9900.0
TSC,3000,2620,2810,2810,2760,11700,266800,735,2754.872563718141,2840,2700,0,0,0,0,735.2270000000004,2668.0,2810.0
TRC,43100,37500,40300,40300,39500,5000,37300,1473,39505.227882037536,39600,39500,0,0,14131884,14700000,1473.545,373.0,40300.0
TRA,82900,72100,77500,77500,76500,300,600,46,76666.66666666667,77500,76500,0,500,979664,20312299,46.0,6.0,77500.0
TPC,6630,5770,6200,6200,0,0,0,0,0.0,0,0,0,0,11545290,11970992,0.0,0.0,6000.0
TPB,18700,16300,17500,17500,17250,1486400,20462400,357193,17456.06575963719,17700,17200,3535600,1654700,1,660490502,357193.94999999105,204624.0,17500.0
TNT,4390,3830,4110,4110,4130,5000,33300,136,4111.41141141141,4130,4090,0,0,24164241,24990000,136.90999999999997,333.0,4110.0
TNI,2500,2180,2340,2340,2310,3800,93500,217,2320.855614973262,2370,2310,0,0,25657315,25725000,217.9060000000001,935.0,2340.0
TNH,23600,20600,22100,22100,21700,32900,296200,6456,21796.083727211342,22000,21700,81200,44348,23708763,77122206,6456.885000000006,2962.0,22100.0
TNC,37000,32200,34600,34600,36900,1000,1400,51,36428.57142857143,36950,35500,0,0,9517908,9625000,51.245,14.0,34600.0
TNA,4030,3510,3770,3770,0,0,0,0,0.0,0,0,0,0,23234412,24292369,0.0,0.0,0.0
TN1,11600,10100,10850,10850,10500,100,200,2,10600.0,10700,10500,0,0,27197011,27316174,2.12,2.0,10850.0
TMT,7270,6330,6800,6800,6800,200,2200,14,6800.0,6800,6800,0,0,17325325,18270963,14.959999999999999,22.0,6800.0
TMS,48700,42400,45550,45550,45500,100,3100,137,44193.54838709677,45550,44100,100,2900,10122263,77552558,137.07500000000002,31.0,45550.0
TMP,69700,60700,65200,65200,65800,100,900,59,65777.77777777777,65800,65700,500,0,33749188,34300000,59.19999999999999,9.0,65200.0
TLH,5970,5190,5580,5580,5540,16000,456500,2547,5579.408543263965,5650,5540,20200,500,53861878,55036808,2547.5759999999987,4565.0,5580.0
TLG,56900,49500,53200,53200,52200,43100,190500,10090,52965.87926509186,53500,52200,34400,34600,63052775,78594453,10090.230000000009,1905.0,53200.0
TLD,5820,5060,5440,5440,5440,5000,45400,246,5436.321585903085,5470,5430,0,0,37605716,38093264,246.80900000000008,454.0,5440.0
TIX,37450,32550,35000,35000,34000,100,4100,139,34000.0,34000,34000,0,0,0,0,139.4,41.0,35000.0
TIP,24600,21400,23000,23000,23000,6800,47300,1086,22959.83086680761,23100,22850,0,500,21261746,32503928,1086.9299999999996,473.0,23000.0
THG,47750,41550,44650,44650,44850,800,7700,344,44675.32467532468,44950,44350,800,2000,11947735,12711524,344.31,77.0,44650.0
TEG,9100,7920,8510,8510,8600,100,1300,10,8438.461538461537,8600,8390,0,0,52968873,59195215,10.969999999999999,13.0,8510.0
TDW,47050,40950,45000,45000,47050,300,900,42,47050.0,47050,47050,0,0,3991460,4250000,42.345,9.0,45000.0
TDP,36950,32150,34550,34550,34100,300,62500,2124,33984.0,34150,33900,0,1800,44900478,44993347,2124.375,625.0,34550.0
TDM,52900,46050,49500,49500,49000,2000,4000,195,48900.0,49000,48800,0,0,51509297,55000000,195.6,40.0,49500.0
TDH,2970,2590,2780,2780,2740,700,52800,145,2746.212121212121,2780,2730,0,2000,54792750,56326383,145.19400000000002,528.0,2780.0
TDG,5380,4680,5030,5030,5010,500,12800,64,5000.0,5030,5000,0,0,0,0,64.032,128.0,5030.0
TDC,10350,9030,9700,9700,9880,70000,412900,4065,9844.99878905304,9930,9660,50000,6300,48835700,50000000,4065.109000000002,4129.0,9700.0
TCT,19150,16650,17900,17900,17950,100,1500,26,17856.666666666664,18000,17600,0,0,0,0,26.784999999999997,15.0,17900.0
TCR,3630,3170,3400,3400,3450,100,300,1,3333.3333333333335,3490,3180,0,0,73598,5082863,1.012,3.0,3400.0
TCO,18750,16350,17550,17550,16900,7400,278500,4681,16807.89946140036,17600,16500,4400,62300,8914419,9168390,4681.97,2785.0,17550.0
TCM,50200,43750,47000,47000,46000,131500,1269900,59076,46520.19844082211,46950,46000,300,26200,1094122,50977741,59076.78499999996,12699.0,47000.0
TCL,37450,32550,35000,35000,35000,100,4700,165,35106.382978723406,35500,34900,0,0,11192471,14777633,165.56,47.0,35000.0
TCI,9520,8280,8900,8900,8830,5000,81300,720,8856.08856088561,8920,8810,0,1000,109643831,115620964,720.5639999999996,813.0,8900.0
TCH,18400,16000,17200,17200,17200,561000,4383800,75800,17290.934805419955,17400,17200,191600,81486,302591420,340790079,75800.57000000068,43838.0,17200.0
TCD,5440,4740,5090,5090,5070,38600,650100,3300,5076.1421319796955,5110,5060,0,0,163509138,164552114,3300.491,6501.0,5090.0
TCB,26050,22650,24350,24350,24050,2057000,21424400,518485,24200.677731931817,24450,24050,2170800,769200,68614119,1584143561,518485.8549999936,214244.0,24350.0
