Symbol,short_name,industry
BFC,Phân bón Bình Điền,Hóa chất
BCM,Becamex IDC,Bất động sản
BCG,Bamboo Capital,Dịch vụ tài chính
BCE,XD và GT Bình Dương,Xây dựng và Vật liệu
AST,Dịch vụ Hàng không Taseco,Bán lẻ
ASP,Dầu khí An Pha,"Điện, nước & xăng dầu khí đốt"
ASM,Tập đoàn Sao Mai,Thực phẩm và đồ uống
APH,Tập đoàn An Phát Holdings,Hàng & Dịch vụ Công nghiệp
APG,Chứng khoán APG,Dịch vụ tài chính
ANV,Thủy sản Nam Việt,Thực phẩm và đồ uống
AGR,Agriseco,Dịch vụ tài chính
AGM,XNK An Giang,Thực phẩm và đồ uống
AGG,Bất động sản An Gia,Bất động sản
ADS,Dệt sợi DAMSAN,Hàng cá nhân & Gia dụng
ACL,Thủy sản CL An Giang,Thực phẩm và đồ uống
ACC,Đầu tư và XD Bình Dương ACC,Xây dựng và Vật liệu
ACB,ACB,Ngân hàng
ABS,DV Nông nghiệp Bình Thuận,Thực phẩm và đồ uống
AAA,An Phát Bioplastics,Hóa chất
